,Datetime1,DAYTON_MW,Datetime
0,00,20.867,2022-01-04 00:00:00
1,01,21.0,2022-01-04 01:00:00
2,02,20.867,2022-01-04 02:00:00
3,03,20.65,2022-01-04 03:00:00
4,04,20.4,2022-01-04 04:00:00
5,05,20.1,2022-01-04 05:00:00
6,06,19.8,2022-01-04 06:00:00
7,07,19.5,2022-01-04 07:00:00
8,08,19.4,2022-01-04 08:00:00
9,09,19.5,2022-01-04 09:00:00
10,10,19.933,2022-01-04 10:00:00
11,11,20.75,2022-01-04 11:00:00
12,12,21.833,2022-01-04 12:00:00
13,13,22.75,2022-01-04 13:00:00
14,14,23.7,2022-01-04 14:00:00
15,15,24.6,2022-01-04 15:00:00
16,16,25.1,2022-01-04 16:00:00
17,18,12.1,2022-01-04 17:00:00
18,19,19.667,2022-01-04 18:00:00
19,20,23.133,2022-01-04 19:00:00
20,21,23.1,2022-01-04 20:00:00
21,22,22.7,2022-01-04 21:00:00
22,23,22.3,2022-01-04 22:00:00
23,00,21.8,2022-01-04 23:00:00
24,01,21.333,2022-01-05 00:00:00
25,02,20.933,2022-01-05 01:00:00
26,03,20.567,2022-01-05 02:00:00
27,04,20.25,2022-01-05 03:00:00
28,05,20.1,2022-01-05 04:00:00
29,06,15.667,2022-01-05 05:00:00
30,07,19.167,2022-01-05 06:00:00
31,08,14.1,2022-01-05 07:00:00
32,09,14.05,2022-01-05 08:00:00
33,10,13.467,2022-01-05 09:00:00
34,11,11.4,2022-01-05 10:00:00
35,12,9.9,2022-01-05 11:00:00
36,13,9.833,2022-01-05 12:00:00
37,14,10.0,2022-01-05 13:00:00
38,15,13.033,2022-01-05 14:00:00
39,16,9.333,2022-01-05 15:00:00
40,17,12.7,2022-01-05 16:00:00
41,18,12.733,2022-01-05 17:00:00
42,19,15.733,2022-01-05 18:00:00
43,20,16.033,2022-01-05 19:00:00
44,21,16.033,2022-01-05 20:00:00
45,22,16.1,2022-01-05 21:00:00
46,23,12.95,2022-01-05 22:00:00
47,00,23.6,2022-01-05 23:00:00
48,01,26.5,2022-01-06 00:00:00
49,02,25.5,2022-01-06 01:00:00
50,03,24.5,2022-01-06 02:00:00
51,04,23.633,2022-01-06 03:00:00
52,05,23.1,2022-01-06 04:00:00
